n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
3,1,33,46,1000000000039,449048913062,4416,1,-688256,1000000688296,2^3;179^1;698324503^1,698324503,1432,232774834,9279135131
3,1,46,61,1009,806,163,-1,-22,988,2^2;13^1;19^1,19,52,18,180
3,1,46,61,10007,7766,8235,-1,108,10116,2^2;3^2;281^1,281,36,14,187
3,1,46,61,100003,84703,8235,-1,-224,99780,2^2;3^1;5^1;1663^1,1663,60,831,13803
3,1,46,61,1000003,10930,8235,-1,292,1000296,2^3;3^3;11^1;421^1,421,2376,60,1196
3,1,46,61,10000019,5628427,8235,1,-2672,10002692,2^2;7^1;357239^1,357239,28,178619,4153517
3,1,46,61,100000007,95628423,8235,1,3936,99996072,2^3;3^1;11^1;47^1;8059^1,8059,12408,4029,107073
3,1,46,61,1000000007,562841535,8235,-1,-22748,999977260,2^2;5^1;79^1;632897^1,632897,1580,316448,9460958
3,1,46,61,10000000019,4644808753,8235,-1,-175044,9999824976,2^4;3^3;89^1;179^1;1453^1,1453,6882192,121,4020
3,1,46,61,100000000003,15846994537,8235,-1,-460652,99999539352,2^3;3^2;31^1;149^1;199^1;1511^1,1511,66181032,1510,55178
3,1,46,61,1000000000039,453551912587,8235,-1,1079856,1000001079896,2^3;7^2;13^1;19^1;10328029^1,10328029,96824,10328028,411707597
3,1,61,78,1009,106,923,-1,-14,996,2^2;3^1;83^1,83,12,82,819
3,1,61,78,10007,7889,4033,-1,-40,9968,2^4;7^1;89^1,89,112,11,147
3,1,61,78,100003,8997,14040,1,-596,100600,2^3;5^2;503^1,503,200,502,8339
3,1,61,78,1000003,705345,14040,-1,292,1000296,2^3;3^3;11^1;421^1,421,2376,60,1196
3,1,61,78,10000019,9395318,14040,-1,-3572,9996448,2^5;7^1;11^1;4057^1,4057,2464,169,3930
3,1,61,78,100000007,17286327,14040,-1,14508,100014516,2^2;3^2;7^1;396883^1,396883,252,396882,10547308
3,1,61,78,1000000007,326709405,14040,1,16976,999983032,2^3;197^1;683^1;929^1,929,1076408,464,13873
3,1,61,78,10000000019,4779914540,14040,-1,-143964,9999856056,2^3;3^1;43^1;467^1;20749^1,20749,481944,10374,344617
3,1,61,78,100000000003,8995726497,14040,1,480536,99999519468,2^2;3^1;29^1;287354941^1,287354941,348,47892490,1750049489
3,1,61,78,1000000000039,713034188063,14040,-1,1037312,1000001037352,2^3;47^1;2659577227^1,2659577227,376,886525742,35339697231
3,1,78,97,1009,93,209,1,30,980,2^2;5^1;7^2,7,140,1,10
3,1,78,97,10007,2623,2393,-1,32,10040,2^3;5^1;251^1,251,40,125,1662
3,1,78,97,100003,71820,22407,1,-580,100584,2^3;3^2;11^1;127^1,127,792,42,698
3,1,78,97,1000003,873079,22407,1,740,999264,2^5;3^1;7^1;1487^1,1487,672,1486,29619
3,1,78,97,10000019,3714026,22407,-1,3684,10003704,2^3;3^1;416821^1,416821,24,104205,2423131
3,1,78,97,100000007,44905614,22407,-1,-14908,99985100,2^2;5^2;37^1;61^1;443^1,443,225700,442,11747
3,1,78,97,1000000007,234971217,22407,-1,-8568,999991440,2^4;3^3;5^1;7^1;66137^1,66137,15120,66136,1977292
3,1,78,97,10000000019,8576784058,22407,-1,140664,10000140684,2^2;3^1;4567^1;182471^1,182471,54804,182470,6061523
3,1,78,97,100000000003,96559110996,22407,1,54804,99999945200,2^4;5^2;619^1;403877^1,403877,247600,201938,7379059
3,1,78,97,1000000000039,475967331657,22407,-1,223960,1000000224000,2^8;3^2;5^3;3472223^1,3472223,288000,1736111,69206831
3,2,3,11,1009,828,33,-1,22,1032,2^3;3^1;43^1,43,24,42,420
3,2,3,11,10007,8190,33,1,24,9984,2^8;3^1;13^1,13,768,6,80
3,2,3,11,100003,27276,33,-1,-200,99804,2^2;3^1;8317^1,8317,12,4158,69064
3,2,3,11,1000003,636368,33,1,1124,998880,2^5;3^1;5^1;2081^1,2081,480,130,2592
3,2,3,11,10000019,3636373,33,1,4796,9995224,2^3;1249403^1,1249403,8,624701,14526485
3,2,3,11,100000007,81818190,33,1,6424,99993584,2^4;307^1;20357^1,20357,4912,20356,540970
3,2,3,11,1000000007,90909094,33,1,14136,999985872,2^4;3^1;20833039^1,20833039,48,771594,23068619
3,2,3,11,10000000019,7272727289,33,-1,108100,10000108120,2^3;5^1;19^1;839^1;15683^1,15683,637640,15682,520945
3,2,3,11,100000000003,27272727276,33,-1,499352,100000499356,2^2;197^1;929^1;136603^1,136603,732052,15178,554623
3,2,3,11,1000000000039,363636363653,33,-1,696332,1000000696372,2^2;137^1;229^1;7968641^1,7968641,125492,7968640,317654990
3,2,11,23,1009,937,621,-1,-22,988,2^2;13^1;19^1,19,52,18,180
3,2,11,23,10007,9428,621,-1,112,10120,2^3;5^1;11^1;23^1,23,440,11,147
3,2,11,23,100003,44930,621,-1,92,100096,2^8;17^1;23^1,23,4352,2,34
3,2,11,23,1000003,579713,621,1,548,999456,2^5;3^1;29^1;359^1,359,2784,179,3568
3,2,11,23,10000019,8550742,621,1,-4412,10004432,2^4;17^1;36781^1,36781,272,36780,855264
3,2,11,23,100000007,24637684,621,-1,-1824,99998184,2^3;3^1;11^1;13^1;29137^1,29137,3432,14568,387151
3,2,11,23,1000000007,637681165,621,-1,13928,1000013936,2^4;62500871^1,62500871,16,31250435,934305283
3,2,11,23,10000000019,7681159436,621,-1,77200,10000077220,2^2;5^1;7^1;557^1;128239^1,128239,77980,128238,4259975
3,2,11,23,100000000003,27536231886,621,1,-109084,100000109088,2^5;3^4;11^1;3507299^1,3507299,28512,3507298,128160910
3,2,11,23,1000000000039,536231884080,621,1,633776,999999366264,2^3;3^2;12697^1;1093871^1,1093871,914184,546935,21802545
3,2,23,39,1009,893,439,-1,58,1068,2^2;3^1;89^1,89,12,88,879
3,2,23,39,10007,502,2457,-1,-112,9896,2^3;1237^1,1237,8,309,4107
3,2,23,39,100003,85840,2457,-1,-100,99904,2^6;7^1;223^1,223,448,222,3688
3,2,23,39,1000003,990236,2457,1,-1292,1001296,2^4;62581^1,62581,16,2980,59397
3,2,23,39,10000019,5848608,2457,-1,-1492,9998528,2^6;156227^1,156227,64,78113,1816401
3,2,23,39,100000007,77533584,2457,-1,3432,100003440,2^4;3^1;5^1;269^1;1549^1,1549,64560,1548,41139
3,2,23,39,1000000007,808302815,2457,-1,-9592,999990416,2^4;37^1;109^1;15497^1,15497,64528,3874,115823
3,2,23,39,10000000019,573870576,2457,-1,-86424,9999913596,2^2;3^1;23^1;1997^1;18143^1,18143,551172,18142,602665
3,2,23,39,100000000003,85836385840,2457,-1,346036,100000346040,2^3;3^3;5^1;7^1;1361^1;9719^1,9719,10289160,9718,355108
3,2,23,39,1000000000039,199023199032,2457,-1,-1182884,999998817156,2^2;3^3;9259248307^1,9259248307,108,60124989,2396770682
3,2,39,59,1009,307,495,-1,22,1032,2^3;3^1;43^1,43,24,42,420
3,2,39,59,10007,3572,6549,1,-64,10072,2^3;1259^1,1259,8,629,8359
3,2,39,59,100003,3620,6549,-1,-356,99648,2^6;3^2;173^1,173,576,86,1429
3,2,39,59,1000003,232709,6549,1,-404,1000408,2^3;23^1;5437^1,5437,184,1812,36117
3,2,39,59,10000019,8158514,6549,-1,-3984,9996036,2^2;3^1;73^1;11411^1,11411,876,5705,132662
3,2,39,59,100000007,3847917,6549,-1,-14424,99985584,2^4;3^1;2083033^1,2083033,48,2083032,55357461
3,2,39,59,1000000007,946862124,6549,-1,-32628,999967380,2^2;3^1;5^1;2903^1;5741^1,5741,174180,2870,85806
3,2,39,59,10000000019,192395787,6549,-1,-37660,9999962360,2^3;5^1;17^1;14705827^1,14705827,680,4901942,162838989
3,2,39,59,100000000003,35822262943,6549,-1,-515228,99999484776,2^3;3^2;61^1;22768553^1,22768553,4392,11384276,415995210
3,2,39,59,1000000000039,423270728373,6549,-1,469664,1000000469704,2^3;761^1;164257633^1,164257633,6088,27376272,1091304086
3,2,59,83,1009,470,67,1,34,976,2^4;61^1,61,16,20,200
3,2,59,83,10007,6207,4186,1,20,9988,2^2;11^1;227^1,227,44,113,1502
3,2,59,83,100003,1840,14193,-1,-620,99384,2^3;3^1;41^1;101^1,101,984,50,831
3,2,59,83,1000003,908057,14193,1,220,999784,2^3;47^1;2659^1,2659,376,1329,26490
3,2,59,83,10000019,4121759,14193,1,-1716,10001736,2^3;3^2;53^1;2621^1,2621,3816,2620,60925
3,2,59,83,100000007,5580217,14193,1,7764,99992244,2^2;3^1;11^1;757517^1,757517,132,757516,20131310
3,2,59,83,1000000007,18389348,14193,-1,-30800,999969208,2^3;7^1;17856593^1,17856593,56,17856592,533864832
3,2,59,83,10000000019,8757133816,14193,1,-95244,10000095264,2^5;3^2;821^1;42293^1,42293,236448,42292,1404910
3,2,59,83,100000000003,40266328474,14193,1,423644,99999576360,2^3;3^2;5^1;107^1;193^1;13451^1,13451,7434360,6725,245740
3,2,59,83,1000000000039,564996829446,14193,1,-727348,1000000727388,2^2;3^2;13^1;1429^1;1495279^1,1495279,668772,747639,29803236
3,3,11,26,1009,171,624,-1,14,1024,2^10,2,512,1,10
3,3,11,26,10007,9479,624,1,-80,10088,2^3;13^1;97^1,97,104,12,160
3,3,11,26,100003,482,624,1,-528,100532,2^2;41^1;613^1,613,164,51,848
3,3,11,26,1000003,774042,624,-1,1332,1001336,2^3;7^1;17881^1,17881,56,745,14850
3,3,11,26,10000019,9278865,624,1,2652,9997368,2^3;3^1;71^1;5867^1,5867,1704,5866,136406
3,3,11,26,100000007,17788464,624,1,6768,99993240,2^3;3^2;5^1;37^1;7507^1,7507,13320,3753,99738
3,3,11,26,1000000007,870192315,624,-1,3600,1000003608,2^3;3^2;13888939^1,13888939,72,6944469,207621241
3,3,11,26,10000000019,8509615402,624,1,-131700,10000131720,2^3;3^1;5^1;47^1;223^1;7951^1,7951,1257720,3975,132047
3,3,11,26,100000000003,480769232,624,1,155236,99999844768,2^5;3124995149^1,3124995149,32,3124995148,114191100964
3,3,11,26,1000000000039,408653846171,624,-1,926828,1000000926868,2^2;59^1;1187^1;1447^1;2467^1,2467,405351004,822,32768
3,3,26,47,1009,128,216,1,34,976,2^4;61^1,61,16,20,200
3,3,26,47,10007,9610,3243,-1,76,10084,2^2;2521^1,2521,4,2520,33488
3,3,26,47,100003,99449,3243,1,24,99980,2^2;5^1;4999^1,4999,20,4998,83016
3,3,26,47,1000003,653102,3243,1,-1160,1001164,2^2;17^1;14723^1,14723,68,7361,146717
3,3,26,47,10000019,3367260,3243,-1,604,10000624,2^4;17^1;36767^1,36767,272,18383,427470
3,3,26,47,100000007,95097140,3243,1,-13544,100013552,2^4;379^1;16493^1,16493,6064,2356,62612
3,3,26,47,1000000007,629047184,3243,1,-20580,1000020588,2^2;3^1;7^1;23^1;517609^1,517609,1932,129402,3868778
3,3,26,47,10000000019,1387604074,3243,-1,102936,10000102956,2^2;3^1;47^1;67^1;264637^1,264637,37788,88212,2930340
3,3,26,47,100000000003,91766882520,3243,-1,-16524,99999983480,2^3;5^1;89^1;28089883^1,28089883,3560,28089882,1026438251
3,3,26,47,1000000000039,405180388546,3243,-1,1760328,1000001760368,2^4;13^1;4807700771^1,4807700771,208,2403850385,95825017559
3,3,47,74,1009,323,687,-1,-6,1004,2^2;251^1,251,4,25,250
3,3,47,74,10007,963,9768,-1,24,10032,2^4;3^1;11^1;19^1,19,528,18,240
3,3,47,74,100003,74604,9768,-1,-544,99460,2^2;5^1;4973^1,4973,20,1243,20646
3,3,47,74,1000003,87532,9768,-1,220,1000224,2^5;3^2;23^1;151^1,151,6624,25,499
3,3,47,74,10000019,4732811,9768,1,412,9999608,2^3;31^1;61^1;661^1,661,15128,132,3070
3,3,47,74,100000007,79883299,9768,1,3696,99996312,2^3;3^1;13^1;17^2;1109^1,1109,90168,1108,29446
3,3,47,74,1000000007,413083542,9768,-1,-41952,999958056,2^3;3^1;163^1;255613^1,255613,3912,127806,3821062
3,3,47,74,10000000019,3823710082,9768,-1,-154556,9999845464,2^3;7^1;19^1;9398351^1,9398351,1064,4699175,156103215
3,3,47,74,100000000003,74600737104,9768,-1,180020,100000180024,2^3;1531^1;8164613^1,8164613,12248,8164612,298344794
3,3,47,74,1000000000039,946253071291,9768,-1,-1601456,999998398584,2^3;3^2;47^1;295507801^1,295507801,3384,98502600,3926622653
3,6,13,37,1009,695,777,1,18,992,2^5;31^1,31,32,30,300
3,6,13,37,10007,9429,777,1,-36,10044,2^2;3^4;31^1,31,324,3,40
3,6,13,37,100003,49810,777,-1,52,100056,2^3;3^1;11^1;379^1,379,264,189,3140
3,6,13,37,1000003,861008,777,1,-1580,1001584,2^4;59^1;1061^1,1061,944,530,10564
3,6,13,37,10000019,4980706,777,1,1184,9998836,2^2;23^1;251^1;433^1,433,23092,432,10046
3,6,13,37,100000007,42471047,777,-1,11536,100011544,2^3;17^1;23^1;31973^1,31973,3128,15986,424835
3,6,13,37,1000000007,501930507,777,-1,-35968,999964040,2^3;5^1;593^1;42157^1,42157,23720,42156,1260353
3,6,13,37,10000000019,6409266423,777,1,82740,9999917280,2^5;3^2;5^1;6944387^1,6944387,1440,6944386,230687510
3,6,13,37,100000000003,49806949810,777,-1,301048,100000301052,2^2;3^1;601^1;863^1;16067^1,16067,6223956,16066,587072
3,6,13,37,1000000000039,386100386117,777,-1,1231672,1000001231712,2^5;3^3;7^1;1483^1;111493^1,111493,8969184,342,13634
3,6,37,73,1009,6,735,1,-46,1056,2^5;3^1;11^1,11,96,10,100
3,6,37,73,10007,4684,6789,-1,-48,9960,2^3;3^1;5^1;83^1,83,120,82,1090
3,6,37,73,100003,443,6789,-1,-428,99576,2^3;3^3;461^1,461,216,460,7641
3,6,37,73,1000003,778174,6789,1,-884,1000888,2^3;7^1;61^1;293^1,293,3416,73,1456
3,6,37,73,10000019,4949193,6789,-1,-5664,9994356,2^2;3^2;227^1;1223^1,1223,8172,611,14208
3,6,37,73,100000007,43968188,6789,1,-784,100000792,2^3;31^1;97^1;4157^1,4157,24056,4156,110448
3,6,37,73,1000000007,121520108,6789,-1,-2960,999997048,2^3;6551^1;19081^1,19081,52408,2385,71306
3,6,37,73,10000000019,6809544866,6789,1,138468,9999861552,2^4;3^2;5441^1;12763^1,12763,783504,1418,47105
3,6,37,73,100000000003,35307114452,6789,-1,355712,100000355716,2^2;2083^1;12001963^1,12001963,8332,2000327,73094368
3,6,37,73,1000000000039,33141847108,6789,-1,767672,1000000767712,2^5;37^1;844595243^1,844595243,1184,422297621,16834107980
3,11,23,66,1009,408,358,-1,6,1016,2^3;127^1,127,8,63,629
3,11,23,66,10007,5978,2376,1,-72,10080,2^5;3^2;5^1;7^1,7,1440,3,40
3,11,23,66,100003,31947,2376,1,196,99808,2^5;3119^1,3119,32,1559,25895
3,11,23,66,1000003,319447,2376,-1,920,1000924,2^2;37^1;6763^1,6763,148,6762,134778
3,11,23,66,10000019,7638905,2376,-1,2280,10002300,2^2;3^1;5^2;7^1;11^1;433^1,433,23100,432,10046
3,11,23,66,100000007,59722228,2376,1,13272,99986736,2^4;3^1;2083057^1,2083057,48,2083056,55358099
3,11,23,66,1000000007,597222228,2376,1,-29008,1000029016,2^3;7^1;53^1;347^1;971^1,971,1029896,485,14501
3,11,23,66,10000000019,7638888905,2376,1,152604,9999847416,2^3;3^1;13^1;32050793^1,32050793,312,8012698,266176067
3,11,23,66,100000000003,31944444447,2376,1,-173148,100000173152,2^5;11^2;19^1;521^1;2609^1,2609,38328928,2608,95300
3,11,23,66,1000000000039,819444444478,2376,-1,-832160,999999167880,2^3;3^1;5^1;47^1;177304817^1,177304817,5640,177304816,7067926196
3,11,26,71,1009,172,168,1,-50,1060,2^2;5^1;53^1,53,20,52,519
3,11,26,71,10007,3666,3195,-1,168,10176,2^6;3^1;53^1,53,192,26,346
3,11,26,71,100003,92962,3195,-1,212,100216,2^3;12527^1,12527,8,12526,208053
3,11,26,71,1000003,295777,3195,-1,1016,1001020,2^2;5^1;50051^1,50051,20,50050,997576
3,11,26,71,10000019,6056351,3195,-1,1812,10001832,2^3;3^1;83^1;5021^1,5021,1992,1255,29184
3,11,26,71,100000007,67605640,3195,1,15600,99984408,2^3;3^1;4166017^1,4166017,24,694336,18452275
3,11,26,71,1000000007,253521130,3195,1,40880,999959128,2^3;7^1;241^1;74093^1,74093,13496,37046,1107578
3,11,26,71,10000000019,5211267617,3195,-1,17676,10000017696,2^5;3^1;31^1;547^1;6143^1,6143,1627872,3071,102017
3,11,26,71,100000000003,2816901410,3195,1,-412632,100000412636,2^2;71^1;8179^1;43051^1,43051,2322836,43050,1573100
3,11,26,71,1000000000039,676056338056,3195,-1,254668,1000000254708,2^2;3^2;7^1;13^1;47^1;6494689^1,6494689,153972,1623672,64724660
3,13,22,69,1009,881,854,-1,-38,972,2^2;3^5,3,324,1,10
3,13,22,69,10007,5642,1863,-1,32,10040,2^3;5^1;251^1,251,40,125,1662
3,13,22,69,100003,90987,1863,1,-428,100432,2^4;6277^1,6277,16,1569,26061
3,13,22,69,1000003,808378,1863,-1,-564,999440,2^4;5^1;13^1;31^2,31,32240,3,60
3,13,22,69,10000019,9645753,1863,1,-2148,10002168,2^3;3^2;11^1;73^1;173^1,173,57816,43,1000
3,13,22,69,100000007,54911439,1863,-1,6664,100006672,2^4;6250417^1,6250417,16,3125208,83053731
3,13,22,69,1000000007,578099845,1863,-1,16632,1000016640,2^8;3^2;5^1;7^1;12401^1,12401,80640,6200,185364
3,13,22,69,10000000019,9210950100,1863,-1,89596,10000089616,2^4;11^1;31^1;1832861^1,1832861,5456,1832860,60886292
3,13,22,69,100000000003,82286634465,1863,-1,450256,100000450260,2^2;3^4;5^1;61728673^1,61728673,1620,20576224,751880103
3,13,22,69,1000000000039,619967793907,1863,-1,324232,1000000324272,2^4;3^1;191^1;7591^1;14369^1,14369,69594288,14368,572754
3,13,37,94,1009,958,714,-1,22,1032,2^3;3^1;43^1,43,24,42,420
3,13,37,94,10007,2543,6768,1,156,9852,2^2;3^1;821^1,821,12,820,10897
3,13,37,94,100003,2528,6768,-1,300,100304,2^4;6269^1,6269,16,6268,104110
3,13,37,94,1000003,110374,6768,1,544,999460,2^2;5^1;7^1;11^2;59^1,59,16940,29,579
3,13,37,94,10000019,2380325,6768,-1,4788,10004808,2^3;3^1;11^1;37897^1,37897,264,12632,293739
3,13,37,94,100000007,27526599,6768,-1,-8004,99992004,2^2;3^1;7^1;1190381^1,1190381,84,1190380,31634855
3,13,37,94,1000000007,615691495,6768,-1,-13008,999987000,2^3;3^1;5^3;257^1;1297^1,1297,771000,1296,38747
3,13,37,94,10000000019,4933510649,6768,1,-31644,10000031664,2^4;3^1;7^1;19^1;733^1;2137^1,2137,4679472,2136,70957
3,13,37,94,100000000003,30186170215,6768,-1,-610788,99999389216,2^5;3124980913^1,3124980913,32,7370238,269317408
3,13,37,94,1000000000039,530585106405,6768,-1,1748672,1000001748712,2^3;71^1;251^1;7014209^1,7014209,142568,7014208,279608336
5,1,4,11,1009,521,165,-1,-2,1008,2^4;3^2;7^1,7,144,1,10
5,1,4,11,10007,8492,165,-1,96,10104,2^3;3^1;421^1,421,24,210,2791
5,1,4,11,100003,6062,165,1,272,99732,2^2;3^1;8311^1,8311,12,4155,69014
5,1,4,11,1000003,696973,165,-1,52,1000056,2^3;3^1;41669^1,41669,24,20834,415255
5,1,4,11,10000019,3030310,165,1,2124,9997896,2^3;3^1;416579^1,416579,24,416578,9686897
5,1,4,11,100000007,84848492,165,-1,-16768,99983240,2^3;5^1;7^1;357083^1,357083,280,357082,9489606
5,1,4,11,1000000007,575757581,165,-1,54476,1000054484,2^2;11^1;13^1;59^1;29633^1,29633,33748,29632,885919
5,1,4,11,10000000019,9393939413,165,-1,74812,10000074832,2^4;11^1;17^1;19^1;175909^1,175909,56848,175908,5843538
5,1,4,11,100000000003,6060606062,165,1,-28552,100000028556,2^2;3^2;2777778571^1,2777778571,36,1388889285,50751693702
5,1,4,11,1000000000039,969696969736,165,-1,-1261440,999998738600,2^3;5^2;4999993693^1,4999993693,200,2499996846,99657717119
5,1,11,20,1009,1005,1000,1,-46,1056,2^5;3^1;11^1,11,96,10,100
5,1,11,20,10007,5655,1000,-1,112,10120,2^3;5^1;11^1;23^1,23,440,11,147
5,1,11,20,100003,98504,1000,1,164,99840,2^9;3^1;5^1;13^1,13,7680,12,200
5,1,11,20,1000003,985004,1000,1,-1076,1001080,2^3;5^1;29^1;863^1,863,1160,862,17182
5,1,11,20,10000019,9450019,1000,-1,5500,10005520,2^4;5^1;7^1;17^1;1051^1,1051,9520,525,12209
5,1,11,20,100000007,56500005,1000,-1,-11460,99988548,2^2;3^1;11^1;401^1;1889^1,1889,52932,472,12544
5,1,11,20,1000000007,565000005,1000,-1,14148,1000014156,2^2;3^2;19^1;1462009^1,1462009,684,243668,7285029
5,1,11,20,10000000019,9450000019,1000,-1,-32900,9999967120,2^4;5^1;11^1;13^1;17^1;51419^1,51419,194480,25709,854035
5,1,11,20,100000000003,98500000004,1000,1,299404,99999700600,2^3;5^2;2971^1;168293^1,168293,594200,168292,6149594
5,1,11,20,1000000000039,845000000034,1000,1,82664,999999917376,2^6;3^1;43^1;1399^1;86579^1,86579,11550144,43289,1725636
5,1,11,76,1009,21,773,-1,-14,996,2^2;3^1;83^1,83,12,82,819
5,1,11,76,10007,2437,3800,1,132,9876,2^2;3^1;823^1,823,12,411,5462
5,1,11,76,100003,659,3800,1,-436,100440,2^3;3^4;5^1;31^1,31,3240,15,250
5,1,11,76,1000003,217107,3800,-1,-1356,998648,2^3;7^1;17^1;1049^1,1049,952,1048,20889
5,1,11,76,10000019,4276325,3800,-1,1660,10001680,2^4;5^1;13^1;59^1;163^1,163,61360,27,628
5,1,11,76,100000007,3289475,3800,-1,-5512,99994496,2^7;7^2;107^1;149^1,149,671104,148,3934
5,1,11,76,1000000007,506578952,3800,-1,14616,1000014624,2^5;3^2;7^1;496039^1,496039,2016,82673,2471704
5,1,11,76,10000000019,7960526332,3800,1,96536,9999903484,2^2;61^1;283^1;144817^1,144817,69052,24136,801781
5,1,11,76,100000000003,48026315792,3800,1,218964,99999781040,2^4;5^1;701^1;1783163^1,1783163,56080,891581,32579448
5,1,11,76,1000000000039,348684210541,3800,1,-1264012,1000001264052,2^2;3^1;7^1;31^1;541^1;709843^1,709843,1408764,101406,4042362
5,1,20,31,1009,431,927,1,-14,1024,2^10,2,512,1,10
5,1,20,31,10007,1700,2945,1,128,9880,2^3;5^1;13^1;19^1,19,520,18,240
5,1,20,31,100003,2378,2945,-1,-300,99704,2^3;11^2;103^1,103,968,17,283
5,1,20,31,1000003,848900,2945,1,-264,1000268,2^2;29^1;8623^1,8623,116,4311,85926
5,1,20,31,10000019,6095089,2945,-1,-1084,9998936,2^3;107^1;11681^1,11681,856,11680,271601
5,1,20,31,100000007,31239392,2945,1,5568,99994440,2^3;3^1;5^1;7^1;13^1;9157^1,9157,10920,2289,60832
5,1,20,31,1000000007,443123943,2945,1,-48816,1000048824,2^3;3^2;13889567^1,13889567,72,13889566,415261256
5,1,20,31,10000000019,7470288640,2945,-1,-48956,9999951064,2^3;59^1;61^1;347317^1,347317,28792,28943,961466
5,1,20,31,100000000003,2546689305,2945,1,-10676,100000010680,2^3;5^1;73^1;79^1;433501^1,433501,230680,108375,3960154
5,1,20,31,1000000000039,388794567079,2945,1,842620,999999157420,2^2;5^1;2713^1;18429767^1,18429767,54260,18429766,734668290
5,1,31,44,1009,890,546,-1,-6,1004,2^2;251^1,251,4,25,250
5,1,31,44,10007,8651,6600,1,-8,10016,2^5;313^1,313,32,78,1037
5,1,31,44,100003,24926,6600,1,-276,100280,2^3;5^1;23^1;109^1,109,920,108,1794
5,1,31,44,1000003,703791,6600,-1,-1500,998504,2^3;13^1;9601^1,9601,104,9600,191344
5,1,31,44,10000019,1462125,6600,-1,-1444,9998576,2^4;7^1;89273^1,89273,112,89272,2075887
5,1,31,44,100000007,86439401,6600,1,10784,99989224,2^3;12498653^1,12498653,8,3124663,83039247
5,1,31,44,1000000007,955303038,6600,1,11604,999988404,2^2;3^1;59^1;1412413^1,1412413,708,470804,14075794
5,1,31,44,10000000019,6007575770,6600,1,51860,9999948160,2^7;5^1;15624919^1,15624919,640,7812459,259524271
5,1,31,44,100000000003,24924242426,6600,1,173232,99999826772,2^2;81563^1;306511^1,306511,326252,6010,219613
5,1,31,44,1000000000039,312878787892,6600,-1,-386976,999999613064,2^3;47^1;3847^1;691337^1,691337,1446472,172834,6889706
5,1,44,59,1009,176,577,1,-46,1056,2^5;3^1;11^1,11,96,10,100
5,1,44,59,10007,1066,2678,-1,-96,9912,2^3;3^1;7^1;59^1,59,168,29,386
5,1,44,59,100003,71229,12685,1,-404,100408,2^3;7^1;11^1;163^1,163,616,81,1346
5,1,44,59,1000003,458812,12685,-1,1540,1001544,2^3;3^1;29^1;1439^1,1439,696,719,14331
5,1,44,59,10000019,1556961,12685,-1,2036,10002056,2^3;19^1;23^1;2861^1,2861,3496,1430,33253
5,1,44,59,100000007,48916047,12685,-1,-10416,99989592,2^3;3^1;4166233^1,4166233,24,4166232,110719386
5,1,44,59,1000000007,947970051,12685,-1,-33472,999966536,2^3;124995817^1,124995817,8,124995816,3737044018
5,1,44,59,10000000019,3957430044,12685,1,91060,9999908960,2^5;5^1;62499431^1,62499431,160,8928490,296598018
5,1,44,59,100000000003,91210090662,12685,1,-607564,100000607568,2^4;3^1;19^1;59^1;1319^1;1409^1,1409,70972752,1408,51451
