n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
-3,3,13,28,100000000003,8928571430,99999999163,-1,-263108,99999736896,2^6;3^1;103^1;5056621^1,5056621,19776,842770,30795835
-3,3,13,28,1000000000039,17857142859,999999999199,1,-344696,1000000344736,2^5;31250010773^1,31250010773,32,31250010772,1245723464991
-3,3,28,49,1009,716,361,1,2,1008,2^4;3^2;7^1,7,144,1,10
-3,3,28,49,10007,2174,6332,-1,-56,9952,2^5;311^1,311,32,310,4120
-3,3,28,49,100003,26859,96328,1,436,99568,2^4;7^2;127^1,127,784,42,698
-3,3,28,49,1000003,697146,996328,1,436,999568,2^4;62473^1,62473,16,62472,1245166
-3,3,28,49,10000019,5085725,9996344,-1,-6060,9993960,2^3;3^2;5^1;17^1;23^1;71^1,71,140760,35,814
-3,3,28,49,100000007,7428573,99996332,-1,12520,100012528,2^4;7^2;11^1;11597^1,11597,8624,2899,77043
-3,3,28,49,1000000007,931428579,999996332,-1,50028,1000050036,2^2;3^1;29^1;2873707^1,2873707,348,1436853,42958102
-3,3,28,49,10000000019,7942857159,9999996344,-1,108756,10000108776,2^3;3^1;7^1;149^1;399493^1,399493,25032,133164,4423613
-3,3,28,49,100000000003,26857142859,99999996328,1,419308,99999580696,2^3;7019^1;1780873^1,1780873,56152,222609,8134403
-3,3,28,49,1000000000039,965714285753,999999996364,1,898372,999999101668,2^2;7^3;728862319^1,728862319,1372,728862318,29054738538
-3,3,49,76,1009,354,611,1,-30,1040,2^4;5^1;13^1,13,80,4,40
-3,3,49,76,10007,9530,9526,1,72,9936,2^4;3^3;23^1,23,432,11,147
-3,3,49,76,100003,10213,89515,1,168,99836,2^2;11^1;2269^1,2269,44,567,9418
-3,3,49,76,1000003,326375,989515,1,364,999640,2^3;5^1;67^1;373^1,373,2680,93,1854
-3,3,49,76,10000019,8115005,9989531,1,-2260,10002280,2^3;5^1;250057^1,250057,40,83352,1938226
-3,3,49,76,100000007,51058357,99989519,-1,-12992,99987016,2^3;719^1;17383^1,17383,5752,8691,230968
-3,3,49,76,1000000007,341247143,999989519,-1,-38676,999961332,2^2;3^1;67^1;227^1;5479^1,5479,182508,2739,81889
-3,3,49,76,10000000019,4865560651,9999989531,1,-20172,10000020192,2^5;3^1;37^1;131^1;21491^1,21491,465312,21490,713883
-3,3,49,76,100000000003,71538901605,99999989515,-1,588620,100000588624,2^4;6250036789^1,6250036789,16,2083345596,76127966934
-3,3,49,76,1000000000039,716533180807,999999989551,-1,1766264,1000001766304,2^5;17^1;211^1;1933^1;4507^1,4507,221877472,4506,179624
-3,4,7,21,1009,114,820,1,-6,1016,2^3;127^1,127,8,63,629
-3,4,7,21,10007,8897,9818,1,-108,10116,2^2;3^2;281^1,281,36,14,187
-3,4,7,21,100003,77782,99814,-1,188,100192,2^5;31^1;101^1,101,992,50,831
-3,4,7,21,1000003,777782,999814,-1,1276,1001280,2^6;3^1;5^1;7^1;149^1,149,6720,74,1475
-3,4,7,21,10000019,5555568,9999830,1,-1516,10001536,2^7;78137^1,78137,128,39068,908468
-3,4,7,21,100000007,88888897,99999818,1,-10092,100010100,2^2;3^1;5^2;333367^1,333367,300,166683,4429672
-3,4,7,21,1000000007,888888897,999999818,-1,-2236,999997772,2^2;23^1;10869541^1,10869541,92,1811590,54161746
-3,4,7,21,10000000019,5555555568,9999999830,1,168508,9999831512,2^3;11^1;113634449^1,113634449,88,113634448,3774854654
-3,4,7,21,100000000003,77777777782,99999999814,-1,389668,100000389672,2^3;3^4;154321589^1,154321589,648,38580397,1409774352
-3,4,7,21,1000000000039,777777777810,999999999850,1,-1527392,1000001527432,2^3;5399^1;23152471^1,23152471,43192,4630494,184586018
-3,4,13,31,1009,164,172,-1,-14,996,2^2;3^1;83^1,83,12,82,819
-3,4,13,31,10007,7103,9170,1,168,9840,2^4;3^1;5^1;41^1,41,240,8,107
-3,4,13,31,100003,41938,99166,-1,-104,99900,2^2;3^3;5^2;37^1,37,2700,12,200
-3,4,13,31,1000003,548390,999166,-1,-116,999888,2^4;3^1;37^1;563^1,563,1776,562,11202
-3,4,13,31,10000019,9677439,9999182,1,1368,9998652,2^2;3^1;17^1;23^1;2131^1,2131,4692,355,8255
-3,4,13,31,100000007,22580648,99999170,-1,6200,100006208,2^6;23^1;67939^1,67939,1472,67938,1805482
-3,4,13,31,1000000007,32258066,999999170,-1,11652,1000011660,2^2;3^1;5^1;811^1;20551^1,20551,48660,10275,307196
-3,4,13,31,10000000019,3225806459,9999999182,-1,118828,10000118848,2^6;23^1;6793559^1,6793559,1472,3396779,112838556
-3,4,13,31,100000000003,80645161294,99999999166,1,156596,99999843408,2^4;3^4;4937^1;15629^1,15629,6398352,7814,285534
-3,4,13,31,1000000000039,645161290349,999999999202,1,-140060,1000000140100,2^2;5^2;13^1;11239^1;68443^1,68443,14610700,11407,454719
-3,4,21,43,1009,458,834,1,38,972,2^2;3^5,3,324,1,10
-3,4,21,43,10007,8735,7814,-1,-60,9948,2^2;3^1;829^1,829,12,23,306
-3,4,21,43,100003,94532,97810,1,-548,100552,2^3;12569^1,12569,8,6284,104376
-3,4,21,43,1000003,424079,997810,1,-1192,1001196,2^2;3^2;7^1;29^1;137^1,137,7308,136,2711
-3,4,21,43,10000019,4445974,9997826,-1,-636,9999384,2^3;3^1;373^1;1117^1,1117,8952,558,12976
-3,4,21,43,100000007,3419974,99997814,-1,-8772,99991236,2^2;3^1;571^1;14593^1,14593,6852,14592,387789
-3,4,21,43,1000000007,164158689,999997814,1,-15088,1000015096,2^3;1103^1;113329^1,113329,8824,3148,94117
-3,4,21,43,10000000019,1792065668,9999997826,-1,35064,10000035084,2^2;3^1;13^1;19^1;29^1;317^1;367^1,367,27248052,122,4053
-3,4,21,43,100000000003,73187414504,99999997810,-1,62720,100000062724,2^2;19^2;69252121^1,69252121,1444,69252120,2530556194
-3,4,21,43,1000000000039,484268125875,999999997846,-1,1503464,1000001503504,2^4;62500093969^1,62500093969,16,10416682328,415241636172
-3,4,31,57,1009,104,428,-1,10,1020,2^2;3^1;5^1;17^1,17,60,16,160
-3,4,31,57,10007,2667,5390,-1,-68,9940,2^2;5^1;7^1;71^1,71,140,70,931
-3,4,31,57,100003,25213,95386,-1,572,100576,2^5;7^1;449^1,449,224,448,7442
-3,4,31,57,1000003,369073,995386,1,-1180,1001184,2^5;3^1;10429^1,10429,96,10428,207847
-3,4,31,57,10000019,3872653,9995402,-1,2476,10002496,2^6;7^1;83^1;269^1,269,37184,67,1558
-3,4,31,57,100000007,59389219,99995390,1,1272,99998736,2^4;3^1;43^1;48449^1,48449,2064,24224,643764
-3,4,31,57,1000000007,412605592,999995390,1,3888,999996120,2^3;3^2;5^1;2777767^1,2777767,360,462961,13841309
-3,4,31,57,10000000019,3697205986,9999995402,1,21268,9999978752,2^8;37^1;1055741^1,1055741,9472,1055740,35070924
-3,4,31,57,100000000003,84860298899,99999995386,-1,-176980,99999823024,2^4;67^1;93283417^1,93283417,1072,31094472,1136229602
-3,4,31,57,1000000000039,275503573761,999999995422,1,-751900,1000000751940,2^2;3^2;5^1;107^1;51921119^1,51921119,19260,25960559,1034869324
-3,4,43,73,1009,673,540,1,34,976,2^4;61^1,61,16,20,200
-3,4,43,73,10007,3523,1466,-1,80,10088,2^3;13^1;97^1,97,104,12,160
-3,4,43,73,100003,3900,91462,-1,388,100392,2^3;3^1;47^1;89^1,89,1128,88,1462
-3,4,43,73,1000003,181245,991462,-1,1204,1001208,2^3;3^1;13^1;3209^1,3209,312,3208,63941
-3,4,43,73,10000019,590097,9991478,-1,3172,10003192,2^3;137^1;9127^1,9127,1096,4563,106106
-3,4,43,73,100000007,45626980,99991466,-1,-8248,99991760,2^4;5^1;11^1;37^2;83^1,83,1204720,41,1090
-3,4,43,73,1000000007,495258171,999991466,-1,4008,1000004016,2^4;3^1;11^2;167^1;1031^1,1031,969936,103,3080
-3,4,43,73,10000000019,927291889,9999991478,-1,71156,10000071176,2^3;1250008897^1,1250008897,8,1250008896,41524396709
-3,4,43,73,100000000003,10748155955,99999991462,1,-100844,100000100848,2^4;6250006303^1,6250006303,16,3125003151,114191393404
-3,4,43,73,1000000000039,177028451009,999999991498,-1,1107168,1000001107208,2^3;199^1;6803^1;92333^1,92333,10830376,46166,1840322
-3,4,57,91,1009,264,666,1,-2,1012,2^2;11^1;23^1,23,44,22,220
-3,4,57,91,10007,4186,5545,1,-184,10192,2^4;7^2;13^1,13,784,6,80
-3,4,57,91,100003,25629,85534,-1,232,100236,2^2;3^1;8353^1,8353,12,8352,138725
-3,4,57,91,1000003,445783,985534,-1,196,1000200,2^3;3^1;5^2;1667^1,1667,600,833,16604
-3,4,57,91,10000019,7381313,9985550,-1,-1068,9998952,2^3;3^1;416623^1,416623,24,138874,3229307
-3,4,57,91,100000007,57370936,99985538,-1,-6768,99993240,2^3;3^2;5^1;37^1;7507^1,7507,13320,3753,99738
-3,4,57,91,1000000007,875803449,999985538,-1,18696,1000018704,2^4;3^1;20833723^1,20833723,48,10416861,311436570
-3,4,57,91,10000000019,1310387729,9999985550,-1,-139116,9999860904,2^3;3^2;11^1;17^1;742711^1,742711,13464,371355,12336147
-3,4,57,91,100000000003,67136636951,99999985534,1,248360,99999751644,2^2;3^2;13^1;17^1;257^1;48907^1,48907,2044692,8151,297848
-3,4,57,91,1000000000039,667219572907,999999985570,-1,-1465704,999998534336,2^6;15624977099^1,15624977099,64,15624977098,622860604847
-3,6,14,38,1009,267,97,-1,-34,976,2^4;61^1,61,16,20,200
-3,6,14,38,10007,5795,9095,-1,124,10132,2^2;17^1;149^1,149,68,74,984
-3,6,14,38,100003,42108,99091,-1,140,100144,2^4;11^1;569^1,569,176,142,2359
-3,6,14,38,1000003,894741,999091,1,104,999900,2^2;3^2;5^2;11^1;101^1,101,9900,100,1994
-3,6,14,38,10000019,3684219,9999107,-1,3384,10003404,2^2;3^1;833617^1,833617,12,29772,692304
-3,6,14,38,100000007,10526318,99999095,1,-9168,100009176,2^3;3^1;4167049^1,4167049,24,347254,9228423
-3,6,14,38,1000000007,421052636,999999095,1,-27592,1000027600,2^4;5^2;11^1;13^1;17483^1,17483,57200,17482,522666
-3,6,14,38,10000000019,9473684230,9999999107,1,152124,9999847896,2^3;3^1;19^1;21929491^1,21929491,456,7309830,242827297
-3,6,14,38,100000000003,73684210530,99999999091,-1,93988,100000093992,2^3;3^1;113^1;36873191^1,36873191,2712,36873190,1347390944
-3,6,14,38,1000000000039,315789473698,999999999127,1,82224,999999917816,2^3;10531^1;11869717^1,11869717,84248,11869716,473164117
-3,6,38,74,1009,509,968,1,50,960,2^6;3^1;5^1,5,192,2,20
-3,6,38,74,10007,6864,2903,1,-40,10048,2^6;157^1,157,64,52,692
-3,6,38,74,100003,40205,92899,-1,436,100440,2^3;3^4;5^1;31^1,31,3240,15,250
-3,6,38,74,1000003,320948,992899,1,388,999616,2^6;15619^1,15619,64,5206,103764
-3,6,38,74,10000019,4020279,9992915,1,-5040,10005060,2^2;3^1;5^1;13^1;101^1;127^1,127,78780,126,2930
-3,6,38,74,100000007,92905413,99992903,-1,-3144,99996864,2^6;3^1;11^1;113^1;419^1,419,238656,418,11109
-3,6,38,74,1000000007,847972980,999992903,1,26520,999973488,2^4;3^1;61^1;341521^1,341521,2928,170760,5105272
-3,6,38,74,10000000019,4020270279,9999992915,1,138848,9999861172,2^2;7^1;357137899^1,357137899,28,59522983,1977310696
-3,6,38,74,100000000003,40202702705,99999992899,-1,-329716,99999670288,2^4;7^1;892854199^1,892854199,112,148809033,5437661983
-3,6,38,74,1000000000039,469594594614,999999992935,1,-1913336,1000001913376,2^5;5869^1;5324597^1,5324597,187808,1331149,53063776
-3,7,12,37,1009,411,454,1,2,1008,2^4;3^2;7^1,7,144,1,10
-3,7,12,37,10007,2977,9452,-1,-40,9968,2^4;7^1;89^1,89,112,11,147
-3,7,12,37,100003,24327,99448,1,-68,100072,2^3;7^1;1787^1,1787,56,893,14833
-3,7,12,37,1000003,513517,999448,-1,-1192,998812,2^2;249703^1,249703,4,249702,4976954
-3,7,12,37,10000019,2432439,9999464,1,3884,9996136,2^3;17^1;31^1;2371^1,2371,4216,1185,27556
-3,7,12,37,100000007,48648654,99999452,1,-6032,100006040,2^3;5^1;2500151^1,2500151,40,1250075,33221275
-3,7,12,37,1000000007,756756764,999999452,-1,17348,1000017356,2^2;13^1;53^1;362851^1,362851,2756,120950,3616085
-3,7,12,37,10000000019,2432432439,9999999464,1,-176676,10000176696,2^3;3^2;17^1;2089^1;3911^1,3911,2556936,1955,64944
-3,7,12,37,100000000003,24324324327,99999999448,1,437620,99999562384,2^4;6249972649^1,6249972649,16,6249972648,228381557049
-3,7,12,37,1000000000039,351351351367,999999999484,1,471392,999999528648,2^3;3^1;23^1;311^1;5825059^1,5825059,171672,2912529,116102543
-3,7,21,52,1009,11,843,-1,2,1012,2^2;11^1;23^1,23,44,22,220
-3,7,21,52,10007,6833,7823,1,72,9936,2^4;3^3;23^1,23,432,11,147
-3,7,21,52,100003,2886,97819,-1,-572,99432,2^3;3^2;1381^1,1381,72,460,7641
-3,7,21,52,1000003,644234,997819,1,-856,1000860,2^2;3^1;5^1;7^1;2383^1,2383,420,1191,23739
-3,7,21,52,10000019,5673089,9997835,-1,-936,9999084,2^2;3^1;29^1;59^1;487^1,487,20532,54,1256
-3,7,21,52,100000007,6730771,99997823,1,-9372,100009380,2^2;3^1;5^1;1666823^1,1666823,60,1666822,44296503
-3,7,21,52,1000000007,221153849,999997823,1,1256,999998752,2^5;17^1;1838233^1,1838233,544,229779,6869784
-3,7,21,52,10000000019,1057692311,9999997835,-1,-65276,9999934744,2^3;29^1;149^1;289283^1,289283,34568,289282,9609741
-3,7,21,52,100000000003,2884615386,99999997819,-1,490908,100000490912,2^5;7^1;97^1;863^1;5333^1,5333,18751264,1333,48710
-3,7,21,52,1000000000039,451923076942,999999997855,1,-174220,1000000174260,2^2;3^1;5^1;16666669571^1,16666669571,60,8333334785,332192867358
-3,7,37,76,1009,29,223,-1,50,1060,2^2;5^1;53^1,53,20,52,519
-3,7,37,76,10007,1410,3167,1,-116,10124,2^2;2531^1,2531,4,2530,33621
-3,7,37,76,100003,60924,93163,1,-308,100312,2^3;12539^1,12539,8,6269,104127
-3,7,37,76,1000003,503950,993163,-1,1396,1001400,2^3;3^1;5^2;1669^1,1669,600,1668,33246
-3,7,37,76,10000019,1986847,9993179,1,-948,10000968,2^3;3^1;109^1;3823^1,3823,2616,1274,29625
-3,7,37,76,100000007,24605266,99993167,-1,-13656,99986352,2^4;3^1;43^1;193^1;251^1,251,398352,125,3322
-3,7,37,76,1000000007,509210531,999993167,-1,3120,1000003128,2^3;3^1;317^1;131441^1,131441,7608,131440,3929709
-3,7,37,76,10000000019,5144736853,9999993179,-1,-26076,9999973944,2^3;3^2;138888527^1,138888527,72,138888526,4613776967
-3,7,37,76,100000000003,87236842109,99999993163,1,-553524,100000553528,2^3;44089^1;283519^1,283519,352712,283518,10360091
-3,7,37,76,1000000000039,488157894757,999999993199,-1,1791220,1000001791260,2^2;3^3;5^1;17^1;131^1;831547^1,831547,1202580,831546,33148033
-3,7,52,97,1009,646,22,-1,-46,964,2^2;241^1,241,4,120,1198
-3,7,52,97,10007,4334,6919,1,-40,10048,2^6;157^1,157,64,52,692
-3,7,52,97,100003,26806,86908,-1,340,100344,2^3;3^1;37^1;113^1,113,888,28,466
-3,7,52,97,1000003,30929,986908,1,-292,1000296,2^3;3^3;11^1;421^1,421,2376,60,1196
-3,7,52,97,10000019,5360836,9986924,-1,5780,10005800,2^3;5^2;7^2;1021^1,1021,9800,10,233
-3,7,52,97,100000007,89690729,99986912,1,11712,99988296,2^3;3^1;89^1;46811^1,46811,2136,23405,621998
-3,7,52,97,1000000007,876288667,999986912,-1,-3000,999997008,2^4;3^1;31^1;672041^1,672041,1488,134408,4018444
-3,7,52,97,10000000019,2783505161,9999986924,1,31420,9999968600,2^3;5^2;49999843^1,49999843,200,49999842,1660958799
-3,7,52,97,100000000003,86597938148,99999986908,-1,254476,100000254480,2^4;3^1;5^1;7^2;8503423^1,8503423,11760,8503422,310725321
-3,7,52,97,1000000000039,134020618563,999999986944,1,-1446616,1000001446656,2^8;3^1;1302085217^1,1302085217,768,651042608,25952600766
-3,12,19,61,1009,333,737,-1,10,1020,2^2;3^1;5^1;17^1,17,60,16,160
-3,12,19,61,10007,6072,8726,1,-132,10140,2^2;3^1;5^1;13^2,13,780,6,80
-3,12,19,61,100003,95087,98722,1,104,99900,2^2;3^3;5^2;37^1,37,2700,12,200
-3,12,19,61,1000003,360659,998722,1,-76,1000080,2^4;3^3;5^1;463^1,463,2160,66,1316
-3,12,19,61,10000019,5737718,9998738,1,980,9999040,2^6;5^1;31247^1,31247,320,15623,363290
-3,12,19,61,100000007,55737711,99998726,-1,-15144,99984864,2^5;3^1;7^1;23^1;6469^1,6469,15456,539,14325
-3,12,19,61,1000000007,573770498,999998726,-1,16092,1000016100,2^2;3^2;5^2;113^1;9833^1,9833,101700,1229,36744
-3,12,19,61,10000000019,3278688533,9999998738,-1,-103768,9999896252,2^2;2499974063^1,2499974063,4,2499974062,83047340738
-3,12,19,61,100000000003,22950819675,99999998722,1,412824,99999587180,2^2;5^1;229^1;277^1;78823^1,78823,1268660,26274,960084
-3,12,19,61,1000000000039,967213114794,999999998758,1,1167320,999998832720,2^4;3^1;5^1;4166661803^1,4166661803,240,4166661802,166096210824
-3,12,37,91,1009,934,238,-1,42,1052,2^2;263^1,263,4,262,2615
-3,12,37,91,10007,8957,3182,1,160,9848,2^3;1231^1,1231,8,615,8173
-3,12,37,91,100003,48750,93178,1,132,99872,2^5;3121^1,3121,32,780,12956
-3,12,37,91,1000003,168793,993178,-1,684,1000688,2^4;13^1;17^1;283^1,283,3536,141,2811
-3,12,37,91,10000019,8936282,9993194,1,-3428,10003448,2^3;7^2;13^2;151^1,151,66248,25,582
-3,12,37,91,100000007,64219786,99993182,1,6408,99993600,2^11;3^2;5^2;7^1;31^1,31,3225600,30,798
-3,12,37,91,1000000007,312527476,999993182,1,31272,999968736,2^5;3^1;13^1;31^1;25847^1,25847,38688,12923,386364
-3,12,37,91,10000000019,1683516488,9999993194,1,-36556,10000036576,2^5;421^1;742283^1,742283,13472,742282,24658075
-3,12,37,91,100000000003,48747252750,99999993178,1,-553956,100000553960,2^3;5^1;2500013849^1,2500013849,40,2500013848,91353528633
-3,12,37,91,1000000000039,40879120882,999999993214,1,-1935960,1000001936000,2^7;5^3;62500121^1,62500121,16000,31250060,1245725428
-3,13,28,79,1009,515,481,-1,-62,948,2^2;3^1;79^1,79,12,26,260
-3,13,28,79,10007,3219,6452,1,176,9832,2^3;1229^1,1229,8,614,8160
-3,13,28,79,100003,74181,96448,1,536,99468,2^2;3^4;307^1,307,324,102,1695
-3,13,28,79,1000003,792409,996448,-1,-996,999008,2^5;31219^1,31219,32,31218,622224
-3,13,28,79,10000019,2936716,9996464,-1,-3468,9996552,2^3;3^2;138841^1,138841,72,46280,1076172
-3,13,28,79,100000007,67594943,99996452,1,10392,99989616,2^4;3^1;2083117^1,2083117,48,173593,4613308
-3,13,28,79,1000000007,751898741,999996452,1,-5696,1000005704,2^3;113^1;1106201^1,1106201,904,1106200,33072452
-3,13,28,79,10000000019,4708860770,9999996464,-1,-86456,9999913564,2^2;49853^1;50147^1,50147,199412,50146,1665815
-3,13,28,79,100000000003,46329113927,99999996448,-1,462916,100000462920,2^3;3^1;5^1;833337191^1,833337191,120,83333719,3045114847
-3,13,28,79,1000000000039,698734177244,999999996484,-1,446688,1000000446728,2^3;223^1;560538367^1,560538367,1784,93423061,3724136293
-3,13,31,84,1009,887,509,1,10,1000,2^3;5^3,5,200,2,20
-3,13,31,84,10007,4085,5471,1,48,9960,2^3;3^1;5^1;83^1,83,120,82,1090
-3,13,31,84,100003,40545,95467,-1,412,100416,2^6;3^1;523^1,523,192,261,4336
-3,13,31,84,1000003,167330,995467,-1,156,1000160,2^5;5^1;7^1;19^1;47^1,47,21280,46,917
-3,13,31,84,10000019,9239437,9995483,-1,3276,10003296,2^5;3^1;79^1;1319^1,1319,7584,1318,30649
-3,13,31,84,100000007,59854503,99995471,1,7664,99992344,2^3;53^1;113^1;2087^1,2087,47912,1043,27719
-3,13,31,84,1000000007,789021171,999995471,-1,28316,1000028324,2^2;131^1;1908451^1,1908451,524,12723,380385
-3,13,31,84,10000000019,2096560852,9999995483,-1,176844,10000176864,2^5;3^1;104168509^1,104168509,96,26042127,865100734
-3,13,31,84,100000000003,40542328045,99999995467,-1,-339724,99999660280,2^3;5^1;13^1;73^1;179^1;14717^1,14717,6794840,3679,134436
-3,13,31,84,1000000000039,429232804251,999999995503,-1,-868360,999999131680,2^5;5^1;43^1;145348711^1,145348711,6880,48449570,1931351854
-3,14,26,78,1009,226,219,-1,-14,996,2^2;3^1;83^1,83,12,82,819
-3,14,26,78,10007,7785,7199,-1,-128,9880,2^3;5^1;13^1;19^1,19,520,18,240
-3,14,26,78,100003,55559,97195,1,540,99464,2^3;12433^1,12433,8,1036,17208
-3,14,26,78,1000003,555559,997195,-1,-1316,998688,2^5;3^1;101^1;103^1,103,9696,17,339
-3,14,26,78,10000019,1111115,9997211,1,2836,9997184,2^7;83^1;941^1,941,10624,188,4372
-3,14,26,78,100000007,77777785,99997199,-1,4592,100004600,2^3;5^2;19^1;26317^1,26317,3800,26316,699359
-3,14,26,78,1000000007,777777785,999997199,1,-5976,1000005984,2^5;3^2;1451^1;2393^1,2393,417888,184,5502
-3,14,26,78,10000000019,1111111115,9999997211,1,-51084,10000051104,2^5;3^1;43^1;61^1;151^1;263^1,263,38023008,131,4352
-3,14,26,78,100000000003,55555555559,99999997195,1,-466660,100000466664,2^3;3^1;7^1;17^2;19^1;43^1;2521^1,2521,39666984,2520,92084
-3,14,26,78,1000000000039,555555555579,999999997231,1,446792,999999553248,2^5;3^2;14633^1;237287^1,237287,4214304,118643,4729483
-3,14,38,98,1009,650,7,1,34,976,2^4;61^1,61,16,20,200
-3,14,38,98,10007,7864,2951,-1,148,10156,2^2;2539^1,2539,4,2538,33727
-3,14,38,98,100003,64289,92947,-1,-356,99648,2^6;3^2;173^1,173,576,86,1429
