n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
5,11,29,76,1009,98,786,-1,-22,988,2^2;13^1;19^1,19,52,18,180
5,11,29,76,10007,5890,6840,-1,24,10032,2^4;3^1;11^1;19^1,19,528,18,240
5,11,29,76,100003,32824,6840,-1,260,100264,2^3;83^1;151^1,151,664,50,831
5,11,29,76,1000003,275587,6840,1,-268,1000272,2^4;3^1;7^1;13^1;229^1,229,4368,228,4545
5,11,29,76,10000019,3340651,6840,-1,-4912,9995108,2^2;1553^1;1609^1,1609,6212,1608,37392
5,11,29,76,100000007,64108193,6840,1,17212,99982796,2^2;83^1;301153^1,301153,332,25096,666937
5,11,29,76,1000000007,272660822,6840,1,-9084,1000009092,2^2;3^1;6607^1;12613^1,12613,79284,12612,377066
5,11,29,76,10000000019,4919590654,6840,1,-28964,10000028984,2^3;11^1;8933^1;12721^1,12721,786104,6360,211275
5,11,29,76,100000000003,95979532168,6840,-1,-425348,99999574656,2^7;3^1;41^1;647^1;9817^1,9817,10186368,409,14946
5,11,29,76,1000000000039,617690058505,6840,1,1405944,999998594096,2^4;62499912131^1,62499912131,16,31249956065,1245721284198
8,1,8,17,1009,637,952,-1,6,1016,2^3;127^1,127,8,63,629
8,1,8,17,10007,842,952,1,-112,10120,2^3;5^1;11^1;23^1,23,440,11,147
8,1,8,17,100003,27733,952,1,-396,100400,2^4;5^2;251^1,251,400,125,2077
8,1,8,17,1000003,672272,952,-1,-1096,998908,2^2;249727^1,249727,4,41621,829572
8,1,8,17,10000019,3361352,952,-1,-168,9999852,2^2;3^1;19^1;61^1;719^1,719,13908,359,8349
8,1,8,17,100000007,34453785,952,1,-6872,100006880,2^5;5^1;19^1;67^1;491^1,491,203680,1,27
8,1,8,17,1000000007,310924373,952,-1,-20032,999979976,2^3;124997497^1,124997497,8,62498748,1868547123
8,1,8,17,10000000019,8739495816,952,1,190700,9999809320,2^3;5^1;249995233^1,249995233,40,31249404,1038082732
8,1,8,17,100000000003,63025210087,952,-1,-105728,99999894276,2^2;3^4;13729^1;22481^1,22481,4448196,5620,205362
8,1,8,17,1000000000039,67226890760,952,1,487664,999999512376,2^3;3^1;17^1;37^1;1307^1;50683^1,50683,19730472,25341,1010172
8,1,17,28,1009,733,557,1,6,1004,2^2;251^1,251,4,25,250
8,1,17,28,10007,1855,3584,-1,56,10064,2^4;17^1;37^1,37,272,36,479
8,1,17,28,100003,44422,3584,1,-268,100272,2^4;3^1;2089^1,2089,48,2088,34682
8,1,17,28,1000003,372770,3584,1,-1272,1001276,2^2;53^1;4723^1,4723,212,4722,94117
8,1,17,28,10000019,1941969,3584,1,-348,10000368,2^4;3^3;7^1;3307^1,3307,3024,1653,38439
8,1,17,28,100000007,79241078,3584,-1,336,100000344,2^3;3^1;19^1;37^1;5927^1,5927,16872,2963,78743
8,1,17,28,1000000007,649553577,3584,1,-43212,1000043220,2^2;3^1;5^1;11^2;23^1;53^1;113^1,113,8849940,112,3349
8,1,17,28,10000000019,4799107153,3584,1,-72600,10000072620,2^2;3^3;5^1;101^1;181^1;1013^1,1013,9871740,506,16809
8,1,17,28,100000000003,94419642861,3584,1,-146884,100000146888,2^3;3^3;462963643^1,462963643,216,462963642,16917251223
8,1,17,28,1000000000039,863839285749,3584,1,-1447964,1000001448004,2^2;13^1;43^1;447227839^1,447227839,2236,74537973,2971317440
8,1,28,41,1009,588,784,1,-6,1016,2^3;127^1,127,8,63,629
8,1,28,41,10007,6139,8856,-1,128,10136,2^3;7^1;181^1,181,56,90,1196
8,1,28,41,100003,8041,8856,1,-524,100528,2^4;61^1;103^1,103,976,17,283
8,1,28,41,1000003,332432,8856,-1,440,1000444,2^2;67^1;3733^1,3733,268,622,12398
8,1,28,41,10000019,307138,8856,-1,-876,9999144,2^3;3^2;113^1;1229^1,1229,8136,307,7139
8,1,28,41,100000007,74345083,8856,1,-7096,100007104,2^6;1562611^1,1562611,64,260435,6921171
8,1,28,41,1000000007,946702808,8856,-1,22584,1000022592,2^6;3^1;19^1;467^1;587^1,587,1703616,586,17520
8,1,28,41,10000000019,6160794954,8856,-1,38892,10000038912,2^10;3^1;29^1;112249^1,112249,89088,56124,1864399
8,1,28,41,100000000003,66576332433,8856,-1,271820,100000271824,2^4;139^1;44964151^1,44964151,2224,8992830,328608881
